ClientId,ProductLine,ProductSales
94255.0,Pumpkin,39.98
94256.0,Omega Oil,159.92
94256.0,Pumpkin,19.99
94257.0,Bone Broth,19.99
94258.0,Yak Chew,17.99
94259.0,Yak Chew,35.98
94260.0,Pumpkin,19.99
94261.0,Pumpkin,19.99
94262.0,Pumpkin,19.99
94263.0,Pumpkin,19.99
94264.0,Pumpkin,19.99
94265.0,Probiotic,59.98
94266.0,Yak Chew,14.99
94267.0,Yak Chew,17.99
94268.0,Pumpkin,19.99
94269.0,Pumpkin,39.98
94270.0,Bladder,29.99
94271.0,Pumpkin,19.99
94272.0,Omega Oil,11.99
94273.0,Omega Oil,19.99
94274.0,Yak Chew,17.99
94275.0,Omega Oil,11.99
94276.0,Pumpkin,19.99
94277.0,Allergy,31.99
94278.0,Pumpkin,33.99
94279.0,Yak Chew,17.99
94280.0,Bladder,29.99
94281.0,Pumpkin,33.99
94282.0,Omega Oil,23.98
94282.0,Pumpkin,59.97
94283.0,Yak Chew,49.98
94284.0,Bladder,29.99
94285.0,Yak Chew,17.99
94286.0,Pumpkin,19.99
94287.0,Bladder,29.99
94288.0,Yak Chew,107.93999999999998
94289.0,Omega Oil,35.97
94290.0,Probiotic,29.99
94291.0,Omega Oil,11.99
94292.0,Omega Oil,23.98
94293.0,Yak Chew,39.99
94294.0,Omega Oil,19.99
94295.0,Probiotic,179.94
94296.0,Yak Chew,35.98
94297.0,Omega Oil,11.99
94298.0,Pumpkin,33.99
94299.0,Bladder,179.94
94300.0,Pumpkin,19.99
94301.0,Yak Chew,14.99
94302.0,Yak Chew,24.99
94303.0,Pumpkin,19.99
